xstr ystr
0.28676123 0.44988268
0.30636653 0.44538959
0.32599332 0.44102532
0.34564582 0.43681242
0.36532688 0.43276945
0.38503812 0.42891143
0.40478012 0.42525030
0.42455255 0.42179526
0.44435440 0.41855314
0.46418407 0.41552871
0.48403954 0.41272494
0.50391848 0.41014326
0.52381833 0.40778380
0.54373646 0.40564558
0.56367015 0.40372670
0.58361670 0.40202452
0.60357348 0.40053580
0.62353794 0.39925680
0.64350764 0.39818345
0.66348029 0.39731140
0.68345372 0.39663612
0.70342592 0.39615300
0.72339502 0.39585737
0.74335930 0.39574456
0.76331719 0.39580997
0.78326722 0.39604908
0.80320807 0.39645749
0.82313854 0.39703092
0.84305752 0.39776526
0.86296400 0.39865657
0.88285706 0.39970106
0.90273586 0.40089516
0.92259963 0.40223545
0.94244765 0.40371872
0.96227928 0.40534195
0.98209389 0.40710230
1.00189092 0.40899709
1.02166983 0.41102387
1.04143010 0.41318032
1.06117126 0.41546432
1.08089282 0.41787390
1.10059433 0.42040727
1.12027535 0.42306279
1.13993542 0.42583896
1.15957409 0.42873444
1.17919094 0.43174802
1.19878550 0.43487865
1.21835731 0.43812539
1.23790591 0.44148744
1.25743081 0.44496410
1.27693152 0.44855481
1.29640753 0.45225913
1.31585829 0.45607672
1.33528326 0.46000733
1.35468187 0.46405084
1.37405350 0.46820721
1.39339753 0.47247652
1.41271331 0.47685892
1.43200014 0.48135466
1.45125732 0.48596408
1.47048409 0.49068760
1.48967966 0.49552573
1.50884321 0.50047907
1.52797389 0.50554827
1.54707079 0.51073409
1.56613297 0.51603735
1.58515944 0.52145895
1.60414918 0.52699986
1.62310109 0.53266112
1.64201406 0.53844384
1.66088689 0.54434921
1.67971836 0.55037848
1.69850717 0.55653296
1.71725197 0.56281404
1.73595134 0.56922317
1.75460382 0.57576187
1.77320785 0.58243171
1.79176183 0.58923433
1.81026406 0.59617145
1.82871278 0.60324482
1.84710615 0.61045627
1.86544226 0.61780770
1.88371907 0.62530104
1.90193451 0.63293831
1.92008636 0.64072156
1.93817233 0.64865293
1.95619004 0.65673458
1.97413697 0.66496876
1.99201051 0.67335774

0.01000000 0.60000000
0.03003066 0.59914867
0.05004895 0.59748107
0.07002122 0.59506743
0.08992347 0.59200257
0.10974341 0.58839363
0.12947969 0.58434943
0.14913923 0.57997304
0.16873428 0.57535769
0.18827967 0.57058527
0.20779087 0.56572634
0.22728260 0.56084099
0.24676811 0.55598006
0.26625878 0.55118639
0.28576401 0.54649594
0.30529121 0.54193882
0.32484600 0.53754012
0.34443232 0.53332065
0.36405267 0.52929749
0.38370829 0.52548452
0.40339933 0.52189281
0.42312507 0.51853101
0.44288409 0.51540564
0.46267435 0.51252135
0.48249343 0.50988117
0.50233854 0.50748675
0.52220671 0.50533850
0.54209481 0.50343584
0.56199967 0.50177727
0.58191810 0.50036059
0.60184697 0.49918298
0.62178322 0.49824116
0.64172390 0.49753142
0.66166619 0.49704982
0.68160743 0.49679216
0.70154507 0.49675412
0.72147674 0.49693130
0.74140023 0.49731928
0.76131343 0.49791365
0.78121443 0.49871006
0.80110141 0.49970424
0.82097269 0.50089206
0.84082672 0.50226948
0.86066203 0.50383265
0.88047727 0.50557788
0.90027115 0.50750163
0.92004249 0.50960056
0.93979014 0.51187152
0.95951304 0.51431153
0.97921017 0.51691780
0.99888055 0.51968776
1.01852322 0.52261898
1.03813726 0.52570926
1.05772178 0.52895656
1.07727590 0.53235900
1.09679872 0.53591493
1.11628937 0.53962281
1.13574698 0.54348130
1.15517065 0.54748923
1.17455948 0.55164555
1.19391256 0.55594941
1.21322895 0.56040008
1.23250767 0.56499698
1.25174774 0.56973966
1.27094813 0.57462783
1.29010778 0.57966131
1.30922557 0.58484007
1.32830038 0.59016418
1.34733100 0.59563385
1.36631619 0.60124940
1.38525466 0.60701126
1.40414504 0.61291999
1.42298594 0.61897623
1.44177587 0.62518076
1.46051329 0.63153444
1.47919658 0.63803822
1.49782406 0.64469319
1.51639396 0.65150050
1.53490444 0.65846140
1.55335355 0.66557724
1.57173927 0.67284946
1.59005949 0.68027959
1.60831199 0.68786923
1.62649444 0.69562009
1.64460442 0.70353393
1.66263937 0.71161261
1.68059664 0.71985807
1.69847344 0.72827232
1.71626686 0.73685744
1.73397382 0.74561559
1.75159114 0.75454899
1.76911548 0.76365994
1.78654331 0.77295078
1.80387098 0.78242393
1.82109464 0.79208187
1.83821029 0.80192711
1.85521370 0.81196223
1.87210048 0.82218985
1.88886603 0.83261263
1.90550552 0.84323325
1.92201392 0.85405444
1.93838595 0.86507895
1.95461609 0.87630952
1.97069858 0.88774893
1.98662740 0.89939992

0.01000000 0.70000000
0.03003694 0.69901453
0.05005155 0.69710256
0.06999969 0.69437667
0.08985467 0.69097945
0.10960866 0.68706002
0.12926843 0.68275772
0.14884958 0.67819421
0.16837141 0.67347151
0.18785359 0.66867339
0.20731415 0.66386792
0.22676865 0.65911031
0.24622991 0.65444536
0.26570807 0.64990951
0.28521084 0.64553253
0.30474377 0.64133875
0.32431057 0.63734806
0.34391338 0.63357667
0.36355300 0.63003772
0.38322918 0.62674173
0.40294075 0.62369699
0.42268583 0.62090988
0.44246199 0.61838509
0.46226633 0.61612587
0.48209566 0.61413423
0.50194654 0.61241105
0.52181540 0.61095628
0.54169859 0.60976907
0.56159244 0.60884786
0.58149329 0.60819051
0.60139758 0.60779442
0.62130181 0.60765657
0.64120261 0.60777365
0.66109674 0.60814208
0.68098109 0.60875816
0.70085269 0.60961804
0.72070874 0.61071781
0.74054655 0.61205355
0.76036358 0.61362137
0.78015744 0.61541744
0.79992584 0.61743798
0.81966660 0.61967936
0.83937767 0.62213805
0.85905708 0.62481069
0.87870294 0.62769405
0.89831343 0.63078510
0.91788681 0.63408095
0.93742138 0.63757894
0.95691547 0.64127655
0.97636748 0.64517148
0.99577580 0.64926161
1.01513883 0.65354500
1.03445500 0.65801993
1.05372273 0.66268484
1.07294041 0.66753836
1.09210642 0.67257931
1.11121913 0.67780668
1.13027686 0.68321967
1.14927788 0.68881760
1.16822044 0.69460000
1.18710271 0.70056656
1.20592280 0.70671710
1.22467878 0.71305165
1.24336860 0.71957034
1.26199017 0.72627350
1.28054130 0.73316157
1.29901970 0.74023514
1.31742299 0.74749494
1.33574866 0.75494185
1.35399413 0.76257686
1.37215665 0.77040109
1.39023338 0.77841580
1.40822132 0.78662234
1.42611735 0.79502220
1.44391819 0.80361698
1.46162039 0.81240837
1.47922035 0.82139817
1.49671428 0.83058829
1.51409822 0.83998072
1.53136801 0.84957755
1.54851929 0.85938094
1.56554748 0.86939314
1.58244777 0.87961646
1.59921514 0.89005329
1.61584429 0.90070606
1.63232970 0.91157725
1.64866555 0.92266941
1.66484575 0.93398508
1.68086392 0.94552684
1.69671337 0.95729729
1.71238709 0.96929900
1.72787773 0.98153454
1.74317763 0.99400644
1.75827872 1.00671718
1.77317261 1.01966917
1.78785049 1.03286472
1.80230318 1.04630604
1.81652108 1.05999519
1.83049421 1.07393407
1.84421212 1.08812439
1.85766398 1.10256761
1.87083851 1.11726496
1.88372400 1.13221735
1.89630830 1.14742535
1.90857886 1.16288915
1.92052269 1.17860853
1.93212642 1.19458277
1.94337630 1.21081063
1.95425821 1.22729032
